idno,univ,year,date,title,count
pu1292,PolyU,2005,2005-01-31,PolyU wins Central Government's recognition for State Key Laboratory,1
hu0626,HKU,2010,2010-10-06,HKU Announces 2010 Q4 HK Macroeconomic Forecast,1
cu0438,CUHK,2008,2008-05-05,Early Diagnosis of Abnormal Heart and Vessel Function in Patients with Systemic Lupus Erythematosus by Advance Imaging Technologies,1
pu1996,PolyU,2010,2010-11-08,"PolyU enhances internationalisation with 19 world renowned university chiefs, executives and entrepreneurs joining its newly set up International Advisory Board",1
pu2458,PolyU,2011,2011-02-28,PolyU honours outstanding students of the year,1
cu3237,CUHK,2003,2003-02-27,"Mercury content in Hong Kong pregnant women and newborns, and its relationship to diet",1
hu0277,HKU,2012,2012-12-21,How many more Christmases for oysters? HKU Forum warns of ocean acidification and threat to marine life,1
cu1643,CUHK,2013,2013-10-03,CUHK Launched the First Free Online Course  'The Role of the Renminbi in the International Monetary System',1
cu1975,CUHK,2015,2015-02-23,Prof. Yu Kwang Chung to Present New Asia College 65th Anniversary Lecture &amp; the 28th Ch’ien Mu Lecture in History and Culture at CUHK All are Welcome,1
pu6051,PolyU,2014,2014-11-19,"PolyU hosts The Second Summit on University Social Responsibility, Inaugural International Conference on Service-learning and ""PolyU Serves"" Showcase",1
pu2242,PolyU,2012,2012-02-07,PolyU sets up Training Base at SZCIQ to nurture food safety talents,1
pu1691,PolyU,2006,2006-10-04,PolyU BRE Index drops marginally but market outlook remains positive,1
cu1821,CUHK,2014,2014-05-26,CUHK Establishes New Hybrid Cardiovascular Operating Theatre and Multidisciplinary Team  Significantly Reducing Operation Time and Risk of Thoracic Aortic Surgery,1
cu0109,CUHK,2009,2009-12-01,CUHK New Asia College 60th Anniversary Lecture Prof. Lawrence J. Lau Speaks on the Rise of New Asia,1
pu2446,PolyU,2013,2013-01-23,PolyU names lecture theatre after Dr Jimmy Tang Kui-ming,1
cu0840,CUHK,2010,2010-07-31,CUHK Vice-Chancellor Prof. Joseph Sung Presents Awards to Distinguished Alumni at the Passing-out Parade of the Hong Kong Police College ,1
cu0669,CUHK,2007,2007-01-25,International Experts join forces in a bid to control the spread of human and animal disease in Asia,1
hu0691,HKU,2013,2013-10-01,Sandro Botticelli’s Venus – An Italian High Renaissance ,1
cu3384,CUHK,2006,2006-10-18,CNOOC donates HK$2.85 million to the Chinese University          ,1
pu2604,PolyU,2013,2013-09-14,PolyU and Warwick jointly hold 21st Congregation for Integrated Engineering Business Management Programme,1
pu0331,PolyU,2004,2004-04-30,PolyU holds Wong's International Lecture Theatre naming ceremony,1
pu2062,PolyU,2011,2011-03-03,PolyU to host 5th Functional Food Symposium,1
hu1072,HKU,2005,2005-09-29,"""Little Prince is depressed"" earns the Silver Winner in Asian Innovation Awards",1
pu6065,PolyU,2014,2014-12-10,"PolyU supports relief work, reconstruction and disaster prevention in post-quake Yunnan",1
cu0418,CUHK,2008,2008-04-01,CUHK Invents World-class Intelligent Grinding Machine for Production of Large Telescope,1
pu1063,PolyU,2008,2008-11-17,PolyU co-hosts 86th Textile Institute World Conference,1
cu1588,CUHK,2013,2013-07-09,Scholar-elect of the Esther Yewpick Lee Millennium Scholarship to Help Others through Music,1
cu3365,CUHK,2006,2006-02-24,Study Shows that Education Equality Improves Student Performance,1
hu0206,HKU,2014,2014-11-26,HKU appoints two new Pro-Vice-Chancellors and the Dean of Arts,1
cu1840,CUHK,2014,2014-07-07,MTR - CUHK Youth Quality of Life Index: Quality of Life of Youth in Hong Kong Improves Slightly in 2013/14,1
cu0229,CUHK,2009,2009-05-18,Clarification of the Senate Reorganization Process of the Chinese University,1
pu2088,PolyU,2011,2011-04-18,PolyU launches two English Pilot Schemes for NSS students,1
cu2065,CUHK,2015,2015-08-10,CUHK Admits Outstanding HKDSE Students with Multiple Talents,1
