,author,title,gender,sizecat,canonicity,timeslot
FRA1005_Boisgobey-052,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-053,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-054,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-055,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-056,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-057,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-058,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-059,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-060,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-061,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-062,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-063,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-064,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-065,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-066,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-067,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-068,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-069,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-070,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-071,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-072,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-073,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-074,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-075,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-076,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-077,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-078,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-079,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-080,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-081,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-082,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-083,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-084,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-085,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-086,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-087,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
